,id,county_rank,country_rank,high_school,county,prev_promotion,school_type,specialization,romanian_competency,romanian_written,romana_written_appeal,romana_written_final,mother_tongue,mother_tongue_competency,mother_tongue_written,mother_tongue_written_appeal,mother_tongue_written_final,modern_language,modern_language_results,mandatory_subject,mandatory_subject_written,mandatory_subject_written_appeal,mandatory_subject_written_final,elective_subject,elective_subject_written,elective_subject_written_appeal,elective_subject_written_final,digital_competencies,final_grade,successful
0, B796868, 12376, 99900," COLEGIUL TEHNOLOGIC ""GRIGORE CERCHEZ""", B, DA, Zi, MATEMATICA-INFORMATICA, Utilizator avansat, 6, , 6, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, 3.7, 4.25, 4.25," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 7.45, , 7.45, Utilizator nivel mediu, , Respins
1, B796871, 9052, 74747," LICEUL TEORETIC ""TRAIAN""", B, DA, Zi, STIINTE SOCIALE, Utilizator experimentat, 8.05, , 8.05, ,  , , , , LIMBA ENGLEZA, B1-B1-A1-B1-B1, ISTORIE, 5.65, , 5.65, SOCIOLOGIE, 6.35, , 6.35, Utilizator nivel mediu, 6.68, Reusit
2, B796879, 12377, 99901," COLEGIUL TEHNOLOGIC ""GRIGORE CERCHEZ""", B, DA, Zi, MATEMATICA-INFORMATICA, Utilizator avansat, 6.8, , 6.8, ,  , , , , LIMBA ENGLEZA, A2-A2--A1-A1, MATEMATICA MATE-INFO, 4.65, , 4.65," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 6, , 6,  , , Respins
3, B796881, 10011, 83400," LICEUL TEORETIC ""TRAIAN""", B, DA, Zi, STIINTE SOCIALE, Utilizator avansat, 6.7, , 6.7, ,  , , , , LIMBA ENGLEZA, A2-B1-A2-A1-A1, ISTORIE, 6.95, , 6.95, SOCIOLOGIE, 5.1, , 5.1, Utilizator nivel mediu, 6.25, Reusit
4, B796890, 10563, 88512," LICEUL TEORETIC ""LUCIAN BLAGA""", B, DA, Zi, FILOLOGIE, Utilizator nivel mediu, 7.25, , 7.25, ,  , , , , LIMBA ENGLEZA, A2-B1--A1-A1, ISTORIE, 5.2, , 5.2, SOCIOLOGIE, 5.6, , 5.6,  , 6.01, Reusit
5, B796893, 12378, 99902," LICEUL TEORETIC ""TRAIAN""", B, DA, Zi, STIINTE SOCIALE, Utilizator nivel mediu, 3.6, 2.8, 2.8, ,  , , , , LIMBA ENGLEZA, A2-B1-A1-A1-A1, ISTORIE, 4.4, 3.7, 3.7, GEOGRAFIE, 3.1, 3.2, 3.2, Utilizator nivel mediu, , Respins
6, B796918, 12379, 99903," LICEUL TEORETIC ""DR. CONSTANTIN ANGELESCU""", B, DA, Zi, FILOLOGIE, Utilizator nivel mediu, 3.5, 3.3, 3.3, ,  , , , , LIMBA ENGLEZA, A2-A2--A1-A1, ISTORIE, 3, 3.4, 3.4, GEOGRAFIE, 4.2, 4.6, 4.6,  , , Respins
7, B796929, 14553, 129879," COLEGIUL TEHNOLOGIC ""GRIGORE CERCHEZ""", B, DA, Zi, MATEMATICA-INFORMATICA, Utilizator avansat, 5.2, , 5.2, ,  , , , , LIMBA ENGLEZA, B2-B2-B2-B2-B2, MATEMATICA MATE-INFO, Neprezentat, , Neprezentat," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", Neprezentat, , Neprezentat, Utilizator nivel mediu, , Neprezentat
8, B796934, 12380, 99904," COLEGIUL TEHNIC ""DIMITRIE LEONIDA""", B, DA, Zi, MATEMATICA-INFORMATICA, Utilizator experimentat, 6.1, , 6.1, ,  , , , , LIMBA ENGLEZA, A2-A2-A1-B1-B1, MATEMATICA MATE-INFO, 1, , 1, BIOLOGIE VEGETALA SI ANIMALA, 2.85, , 2.85, Utilizator avansat, , Respins
9, B796942, 12381, 99905," COLEGIUL TEHNOLOGIC ""GRIGORE CERCHEZ""", B, DA, Zi, MATEMATICA-INFORMATICA, Utilizator avansat, 5.1, , 5.1, ,  , , , , LIMBA ENGLEZA, A2-A2-B1-B1-B1, MATEMATICA MATE-INFO, 2.55, , 2.55," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA", 5, , 5,  , , Respins
